"street,city,zip,state,beds,baths,price"
"6417 SUNNYFIELD WAY,SACRAMENTO,95823,CA,4,2,168000"
"4008 GREY LIVERY WAY,ANTELOPE,95843,CA,3,2,168750"
"8920 ROSETTA CIR,SACRAMENTO,95826,CA,3,1,168750"
"8300 LICHEN DR,CITRUS HEIGHTS,95621,CA,3,1,170000"
"8884 AMBERJACK WAY,SACRAMENTO,95828,CA,3,2,170250"
"4480 VALLEY HI DR,SACRAMENTO,95823,CA,3,2,173000"
"2250 FOREBAY RD,POLLOCK PINES,95726,CA,3,1,175000"
"3529 FABERGE WAY,SACRAMENTO,95826,CA,3,2,176095"
"1792 DAWNELLE WAY,SACRAMENTO,95835,CA,3,2,176250"
"7800 TABARE CT,CITRUS HEIGHTS,95621,CA,3,2,178000"
"8531 HERMITAGE WAY,SACRAMENTO,95823,CA,4,2,179000"
"2421 BERRYWOOD DR,RANCHO CORDOVA,95670,CA,3,2,180000"
"1005 MORENO WAY,SACRAMENTO,95838,CA,3,2,180000"
"1675 VERNON ST Unit 24,ROSEVILLE,95678,CA,3,2,180000"
"24 WINDCHIME CT,SACRAMENTO,95823,CA,3,2,181000"
"540 HARLING CT,RIO LINDA,95673,CA,3,2,182000"
"1207 CRESCENDO DR,ROSEVILLE,95678,CA,3,2,182587"
"7577 EDDYLEE WAY,SACRAMENTO,95822,CA,4,2,185074"
"8369 FOPPIANO WAY,SACRAMENTO,95829,CA,3,2,185833"
"8817 SAWTELLE WAY,SACRAMENTO,95826,CA,4,2,186785"
"1910 BONAVISTA WAY,SACRAMENTO,95832,CA,3,2,187000"
"8 TIDE CT,SACRAMENTO,95833,CA,3,2,188335"
"8952 ROCKY CREEK CT,ELK GROVE,95758,CA,3,2,190000"
"435 EXCHANGE ST,SACRAMENTO,95838,CA,3,1,190000"
"10105 MONTE VALLO CT,SACRAMENTO,95827,CA,4,2,190000"
"3930 ANNABELLE AVE,ROSEVILLE,95661,CA,2,1,190000"
"4854 TANGERINE AVE,SACRAMENTO,95823,CA,3,2,191250"
"2909 SHAWN WAY,RANCHO CORDOVA,95670,CA,3,2,193000"
"4290 BLACKFORD WAY,SACRAMENTO,95823,CA,3,2,193500"
"5890 TT TRAK,FORESTHILL,95631,CA,0,0,194818"
"7015 WOODSIDE DR,SACRAMENTO,95842,CA,4,2,195000"
"6019 CHESHIRE WAY,CITRUS HEIGHTS,95610,CA,4,3,195000"
"3330 VILLAGE CT,CAMERON PARK,95682,CA,2,2,195000"
"2561 VERNA WAY,SACRAMENTO,95821,CA,3,1,195000"
"3522 22ND AVE,SACRAMENTO,95820,CA,3,1,198000"
"2880 CANDIDO DR,SACRAMENTO,95833,CA,3,2,199900"
"6908 PIN OAK CT,FAIR OAKS,95628,CA,3,1,200000"
"5733 ANGELINA AVE,CARMICHAEL,95608,CA,3,1,201000"
"7849 BONNY DOWNS WAY,ELK GROVE,95758,CA,4,2,204918"
"8716 LONGSPUR WAY,ANTELOPE,95843,CA,3,2,205000"
"6320 EL DORADO ST,EL DORADO,95623,CA,2,1,205000"
"2328 DOROTHY JUNE WAY,SACRAMENTO,95838,CA,3,2,205878"
"1986 DANVERS WAY,SACRAMENTO,95832,CA,4,2,207000"
"7901 GAZELLE TRAIL WAY,ANTELOPE,95843,CA,4,2,207744"
"6080 BRIDGECROSS DR,SACRAMENTO,95835,CA,3,2,209000"
"20 GROTH CIR,SACRAMENTO,95834,CA,3,2,210000"
"1900 DANBROOK DR,SACRAMENTO,95835,CA,1,1,210944"
"140 VENTO CT,ROSEVILLE,95678,CA,3,2,212500"
"8442 KEUSMAN ST,ELK GROVE,95758,CA,4,2,213750"
"9552 SUNLIGHT LN,ELK GROVE,95758,CA,3,2,215000"
"2733 YUMA CT,CAMERON PARK,95682,CA,2,2,215000"
"1407 TIFFANY CIR,ROSEVILLE,95661,CA,4,1,215000"
"636 CRESTVIEW DR,DIAMOND SPRINGS,95619,CA,3,2,216033"
"1528 HESKET WAY,SACRAMENTO,95825,CA,4,2,220000"
"2327 32ND ST,SACRAMENTO,95817,CA,2,1,220000"
"1833 2ND AVE,SACRAMENTO,95818,CA,2,1,220000"
"7252 CARRIAGE DR,CITRUS HEIGHTS,95621,CA,4,2,220000"
"9815 PASO FINO WAY,ELK GROVE,95757,CA,3,2,220000"
"5532 ENGLE RD,CARMICHAEL,95608,CA,2,2,220702"
"1139 CLINTON RD,SACRAMENTO,95825,CA,4,2,221250"
"9176 SAGE GLEN WAY,ELK GROVE,95758,CA,3,2,222000"
"9967 HATHERTON WAY,ELK GROVE,95757,CA,0,0,222500"
"9264 BOULDER RIVER WAY,ELK GROVE,95624,CA,5,2,222750"
"320 GROTH CIR,SACRAMENTO,95834,CA,3,2,225000"
"137 GUNNISON AVE,SACRAMENTO,95838,CA,4,2,225000"
"8209 RIVALLO WAY,SACRAMENTO,95829,CA,4,3,228750"
"8637 PERIWINKLE CIR,ELK GROVE,95624,CA,3,2,229000"
"3425 MEADOW WAY,ROCKLIN,95677,CA,3,2,230095"
"107 JARVIS CIR,SACRAMENTO,95834,CA,5,3,232500"
"2319 THORES ST,RANCHO CORDOVA,95670,CA,3,2,233000"
"8935 MOUNTAIN HOME CT,ELK GROVE,95624,CA,4,2,233500"
"2566 SERENATA WAY,SACRAMENTO,95835,CA,3,2,239000"
"4085 COUNTRY DR,ANTELOPE,95843,CA,4,3,240000"
"9297 TROUT WAY,ELK GROVE,95624,CA,4,2,240000"
"7 ARCHIBALD CT,SACRAMENTO,95823,CA,3,2,240971"
"11130 EEL RIVER CT,RANCHO CORDOVA,95670,CA,2,2,242000"
"8323 REDBANK WAY,SACRAMENTO,95829,CA,3,2,243450"
"16 BRONCO CREEK CT,SACRAMENTO,95835,CA,4,2,243500"
"8316 NORTHAM DR,ANTELOPE,95843,CA,3,2,246544"
"4240 WINJE DR,ANTELOPE,95843,CA,4,2,246750"
"3569 SODA WAY,SACRAMENTO,95834,CA,0,0,247000"
"5118 ROBANDER ST,CARMICHAEL,95608,CA,3,2,247000"
"5976 KYLENCH CT,CITRUS HEIGHTS,95621,CA,3,2,249000"
"9247 DELAIR WAY,ELK GROVE,95758,CA,4,3,249000"
"9054 DESCENDANT DR,ELK GROVE,95758,CA,3,2,250000"
"3450 WHITNOR CT,SACRAMENTO,95821,CA,3,2,250000"
"6288 LONETREE BLVD,ROCKLIN,95765,CA,0,0,250000"
"9355 MATADOR WAY,SACRAMENTO,95826,CA,4,2,252000"
"8671 SUMMER SUN WAY,ELK GROVE,95624,CA,3,2,255000"
"1890 GENEVA PL,SACRAMENTO,95825,CA,3,1,255000"
"1813 AVENIDA MARTINA,ROSEVILLE,95747,CA,3,2,255000"
"191 BARNHART CIR,SACRAMENTO,95835,CA,4,2,257200"
"6221 GREEN TOP WAY,ORANGEVALE,95662,CA,3,2,260000"
"2298 PRIMROSE LN,LINCOLN,95648,CA,3,2,260000"
"5635 LOS PUEBLOS WAY,SACRAMENTO,95835,CA,3,2,263500"
"10165 LOFTON WAY,ELK GROVE,95757,CA,3,2,266510"
"1251 GREEN RAVINE DR,LINCOLN,95648,CA,4,2,267750"
"6001 SHOO FLY RD,PLACERVILLE,95667,CA,0,0,270000"
"3040 PARKHAM DR,ROSEVILLE,95747,CA,0,0,271000"
"2674 TAM O SHANTER DR,EL DORADO HILLS,95762,CA,4,2,272700"
"6007 MARYBELLE LN,SHINGLE SPRINGS,95682,CA,0,0,275000"
"9949 NESTLING CIR,ELK GROVE,95757,CA,3,2,275000"
"2915 HOLDREGE WAY,SACRAMENTO,95835,CA,5,3,276000"
"2678 BRIARTON DR,LINCOLN,95648,CA,3,2,276500"
"294 SPARROW DR,GALT,95632,CA,4,3,278000"
"2987 DIORITE WAY,SACRAMENTO,95835,CA,5,3,279000"
"6326 APPIAN WAY,CARMICHAEL,95608,CA,3,2,280000"
"6905 COBALT WAY,CITRUS HEIGHTS,95621,CA,4,2,280000"
"8986 HAFLINGER WAY,ELK GROVE,95757,CA,3,2,285000"
"2916 BABSON DR,ELK GROVE,95758,CA,3,2,288000"
"10133 NEBBIOLO CT,ELK GROVE,95624,CA,4,3,289000"
"1103 COMMONS DR,SACRAMENTO,95825,CA,3,2,290000"
"4636 TEAL BAY CT,ANTELOPE,95843,CA,4,2,290000"
"1524 YOUNGS AVE,SACRAMENTO,95838,CA,4,2,293996"
"865 CONRAD CT,PLACERVILLE,95667,CA,3,2,294000"
"8463 TERRACOTTA CT,ELK GROVE,95624,CA,4,2,294173"
"5747 KING RD,LOOMIS,95650,CA,4,2,295000"
"8253 KEEGAN WAY,ELK GROVE,95624,CA,0,0,298000"
"9204 TROUT WAY,ELK GROVE,95624,CA,4,2,298000"
"1828 2ND AVE,SACRAMENTO,95818,CA,2,1,299000"
"1113 COMMONS DR,SACRAMENTO,95825,CA,2,2,300000"
"2341 BIG STRIKE TRL,COOL,95614,CA,3,2,300000"
"9452 RED SPRUCE WAY,ELK GROVE,95624,CA,6,3,300000"
"5776 TERRACE DR,ROCKLIN,95765,CA,3,2,300567"
"5908 MCLEAN DR,ELK GROVE,95757,CA,5,3,303000"
"8215 PEREGRINE WAY,CITRUS HEIGHTS,95610,CA,3,2,305000"
"1104 HILLSDALE LN,LINCOLN,95648,CA,4,2,306000"
"2949 PANAMA AVE,CARMICHAEL,95608,CA,3,2,310000"
"1356 HARTLEY WAY,FOLSOM,95630,CA,3,2,310000"
"633 HANISCH DR,ROSEVILLE,95678,CA,4,3,310000"
"63 ANGEL ISLAND CIR,SACRAMENTO,95831,CA,4,2,311518"
"1571 WILD OAK LN,LINCOLN,95648,CA,5,3,312000"
"5222 COPPER SUNSET WAY,RANCHO CORDOVA,95742,CA,0,0,313000"
"5601 SPINDRIFT LN,ORANGEVALE,95662,CA,4,2,315000"
"652 FIFTEEN MILE DR,ROSEVILLE,95678,CA,4,3,315000"
"7921 DOE TRAIL WAY,ANTELOPE,95843,CA,5,3,315000"
"4204 LUSK DR,SACRAMENTO,95864,CA,3,2,315000"
"5321 DELTA DR,ROCKLIN,95765,CA,4,2,315000"
"5608 ROSEDALE WAY,SACRAMENTO,95822,CA,3,2,320000"
"3372 BERETANIA WAY,SACRAMENTO,95834,CA,4,3,322000"
"2422 STEFANIE DR,ROCKLIN,95765,CA,4,2,325000"
"3232 PARKHAM DR,ROSEVILLE,95747,CA,0,0,325500"
"448 ELMWOOD CT,ROSEVILLE,95678,CA,3,2,326951"
"1214 DAWNWOOD DR,GALT,95632,CA,3,2,328370"
"1440 EMERALD LN,LINCOLN,95648,CA,2,2,330000"
"3349 CORVINA DR,RANCHO CORDOVA,95670,CA,4,3,330000"
"10254 JULIANA WAY,SACRAMENTO,95827,CA,4,2,331200"
"149 OPUS CIR,SACRAMENTO,95834,CA,4,3,332000"
"580 REGENCY PARK CIR,SACRAMENTO,95835,CA,3,3,334000"
"5544 CAMAS CT,ORANGEVALE,95662,CA,3,2,335000"
"5102 ARCHCREST WAY,SACRAMENTO,95835,CA,4,2,341000"
"5725 BALFOR RD,ROCKLIN,95765,CA,5,3,346375"
"7697 ROSEHALL DR,ROSEVILLE,95678,CA,5,3,347225"
"4821 HUTSON WAY,ELK GROVE,95757,CA,5,3,349000"
"4509 WINJE DR,ANTELOPE,95843,CA,3,2,350000"
"1965 LAURELHURST LN,LINCOLN,95648,CA,2,2,350000"
"6709 ROSE BRIDGE DR,ROSEVILLE,95678,CA,3,2,350000"
"281 SPYGLASS HL,ROSEVILLE,95678,CA,3,2,350000"
"7709 RIVER VILLAGE DR,SACRAMENTO,95831,CA,3,2,351000"
"4165 BRISBANE CIR,EL DORADO HILLS,95762,CA,3,2,356200"
"506 BEDFORD CT,ROSEVILLE,95661,CA,4,2,360000"
"9048 PINTO CANYON WAY,ROSEVILLE,95747,CA,4,3,367463"
"2274 IVY BRIDGE DR,ROSEVILLE,95747,CA,0,0,375000"
"14004 WALNUT AVE,WALNUT GROVE,95690,CA,3,1,380000"
"6905 FRANKFORT CT,ELK GROVE,95758,CA,3,2,380578"
"3621 WINTUN DR,CARMICHAEL,95608,CA,3,2,386222"
"201 KIRKLAND CT,LINCOLN,95648,CA,0,0,389000"
"12075 APPLESBURY CT,RANCHO CORDOVA,95742,CA,0,0,390000"
"1975 SIDESADDLE WAY,ROSEVILLE,95661,CA,3,2,395500"
"5420 ALMOND FALLS WAY,RANCHO CORDOVA,95742,CA,0,0,396000"
"9677 PILLITERI CT,ELK GROVE,95757,CA,5,3,397000"
"1515 EL CAMINO VERDE DR,LINCOLN,95648,CA,0,0,400000"
"556 PLATT CIR,EL DORADO HILLS,95762,CA,4,2,400000"
"1792 DIAMOND WOODS CIR,ROSEVILLE,95747,CA,4,3,412500"
"1124 PERKINS WAY,SACRAMENTO,95818,CA,2,1,413500"
"4748 SALEM WAY,CARMICHAEL,95608,CA,3,2,415000"
"1484 RADCLIFFE WAY,AUBURN,95603,CA,4,3,420454"
"51 AIKEN WAY,SACRAMENTO,95819,CA,3,1,425000"
"2818 KNOLLWOOD DR,CAMERON PARK,95682,CA,3,2,425000"
"1536 STONEY CROSS LN,LINCOLN,95648,CA,0,0,433500"
"509 CASTILLIAN CT,ROSEVILLE,95747,CA,5,3,438000"
"700 HUNTER PL,FOLSOM,95630,CA,5,3,441000"
"1240 FAY CIR,SACRAMENTO,95831,CA,5,3,445000"
"1113 SANDWICK WAY,FOLSOM,95630,CA,4,3,446000"
"3108 DELWOOD WAY,SACRAMENTO,95821,CA,4,2,450000"
"3212 CORNICHE LN,ROSEVILLE,95661,CA,4,3,455000"
"2159 BECKETT DR,EL DORADO HILLS,95762,CA,3,2,460000"
"4320 FOUR SEASONS RD,PLACERVILLE,95667,CA,3,2,475000"
"6401 MARSHALL RD,GARDEN VALLEY,95633,CA,3,2,490000"
"2089 BECKETT DR,EL DORADO HILLS,95762,CA,4,2,493000"
"6196 EDGEHILL DR,EL DORADO HILLS,95762,CA,5,4,508000"
"200 HILLSFORD CT,ROSEVILLE,95747,CA,0,0,511000"
"8217 PLUMERIA AVE,FAIR OAKS,95628,CA,3,2,525000"
"4841 VILLAGE GREEN DR,EL DORADO HILLS,95762,CA,4,3,533000"
"3863 LAS PASAS WAY,SACRAMENTO,95864,CA,3,1,545000"
"820 DANA CT,AUBURN,95603,CA,4,3,560000"
"1165 37TH ST,SACRAMENTO,95816,CA,2,1,575000"
"203 CASCADE FALLS DR,FOLSOM,95630,CA,4,3,575000"
"9880 IZILDA CT,SACRAMENTO,95829,CA,5,4,598695"
"1800 AVONDALE DR,ROSEVILLE,95747,CA,5,3,600000"
"4620 BROMWICH CT,ROCKLIN,95677,CA,4,3,600000"
"620 KESWICK CT,GRANITE BAY,95746,CA,4,3,600000"
"4478 GREENBRAE RD,ROCKLIN,95677,CA,0,0,600000"
"8432 BRIGGS DR,ROSEVILLE,95747,CA,5,3,610000"
"200 CRADLE MOUNTAIN CT,EL DORADO HILLS,95762,CA,0,0,622500"
"2065 IMPRESSIONIST WAY,EL DORADO HILLS,95762,CA,0,0,680000"
"2982 ABERDEEN LN,EL DORADO HILLS,95762,CA,4,3,879000"
"9401 BARREL RACER CT,WILTON,95693,CA,4,3,884790"
"3720 VISTA DE MADERA,LINCOLN,95648,CA,3,3,1551"
"14151 INDIO DR,SLOUGHHOUSE,95683,CA,3,4,2000"
"7401 TOULON LN,SACRAMENTO,95828,CA,4,2,56950"
"9127 NEWHALL DR Unit 34,SACRAMENTO,95826,CA,1,1,60000"
"5937 BAMFORD DR,SACRAMENTO,95823,CA,2,1,61000"
"5672 HILLSDALE BLVD,SACRAMENTO,95842,CA,2,1,62000"
"3920 39TH ST,SACRAMENTO,95820,CA,2,1,68566"
"701 JESSIE AVE,SACRAMENTO,95838,CA,2,1,70000"
"83 ARCADE BLVD,SACRAMENTO,95815,CA,4,2,80000"
"601 REGGINALD WAY,SACRAMENTO,95838,CA,3,2,85500"
"550 DEL VERDE CIR,SACRAMENTO,95833,CA,2,1,92000"
"4113 DAYSTAR CT,SACRAMENTO,95824,CA,2,2,93600"
"7374 TISDALE WAY,SACRAMENTO,95822,CA,3,1,95000"
"3348 RIO LINDA BLVD,SACRAMENTO,95838,CA,3,2,97750"
"3935 LIMESTONE WAY,SACRAMENTO,95823,CA,3,2,104000"
"6208 GRATTAN WAY,NORTH HIGHLANDS,95660,CA,3,1,105000"
"739 E WOODSIDE LN Unit E,SACRAMENTO,95825,CA,1,1,107666"
"4225 46TH AVE,SACRAMENTO,95824,CA,3,1,109000"
"1434 BELL AVE,SACRAMENTO,95838,CA,3,1,110000"
"5628 GEORGIA DR,NORTH HIGHLANDS,95660,CA,3,1,110000"
"7629 BETH ST,SACRAMENTO,95832,CA,3,2,112500"
"2277 BABETTE WAY,SACRAMENTO,95832,CA,3,2,114800"
"6561 WEATHERFORD WAY,SACRAMENTO,95823,CA,3,1,116000"
"3035 ESTEPA DR Unit 5C,CAMERON PARK,95682,CA,0,0,119000"
"5136 CABOT CIR,SACRAMENTO,95820,CA,4,2,121500"
"7730 ROBINETTE RD,SACRAMENTO,95828,CA,3,2,122000"
"87 LACAM CIR,SACRAMENTO,95820,CA,2,2,123675"
"1691 NOGALES ST,SACRAMENTO,95838,CA,4,2,126854"
"3118 42ND ST,SACRAMENTO,95817,CA,3,2,127059"
"7517 50TH AVE,SACRAMENTO,95828,CA,3,1,128687"
"4071 EVALITA WAY,SACRAMENTO,95823,CA,3,2,129500"
"7928 36TH AVE,SACRAMENTO,95824,CA,3,2,130000"
"6631 DEMARET DR,SACRAMENTO,95822,CA,4,2,131750"
"7043 9TH AVE,RIO LINDA,95673,CA,2,1,132000"
"97 KENNELFORD CIR,SACRAMENTO,95823,CA,3,2,134000"
"2636 TRONERO WAY,RANCHO CORDOVA,95670,CA,3,1,134000"
"1530 TOPANGA LN Unit 204,LINCOLN,95648,CA,0,0,138000"
"3604 KODIAK WAY,ANTELOPE,95843,CA,3,2,142000"
"2149 COTTAGE WAY,SACRAMENTO,95825,CA,3,1,143012"
"8632 PRAIRIEWOODS DR,SACRAMENTO,95828,CA,3,2,145846"
"612 STONE BLVD,WEST SACRAMENTO,95691,CA,2,1,147000"
"4180 12TH AVE,SACRAMENTO,95817,CA,3,1,148750"
"8025 ARROYO VISTA DR,SACRAMENTO,95823,CA,4,2,150000"
"5754 WALERGA RD Unit 4,SACRAMENTO,95842,CA,2,1,150454"
"8 LA ROCAS CT,SACRAMENTO,95823,CA,3,2,151087"
"8636 LONGSPUR WAY,ANTELOPE,95843,CA,3,2,157296"
"1941 EXPEDITION WAY,SACRAMENTO,95832,CA,3,2,157500"
"4351 TURNBRIDGE DR,SACRAMENTO,95823,CA,3,2,160000"
"6513 HOLIDAY WAY,NORTH HIGHLANDS,95660,CA,3,2,160000"
"8321 MISTLETOE WAY,CITRUS HEIGHTS,95621,CA,4,2,161250"
"5920 VALLEY GLEN WAY,SACRAMENTO,95823,CA,3,2,164000"
"2601 SAN FERNANDO WAY,SACRAMENTO,95818,CA,2,1,165000"
"501 POPLAR AVE,WEST SACRAMENTO,95691,CA,0,0,165000"
"8008 SAINT HELENA CT,SACRAMENTO,95829,CA,4,2,165750"
"6517 DONEGAL DR,CITRUS HEIGHTS,95621,CA,3,1,166000"
"1001 RIO NORTE WAY,SACRAMENTO,95834,CA,3,2,169000"
"604 P ST,LINCOLN,95648,CA,3,2,170000"
"10001 WOODCREEK OAKS BLVD Unit 815,ROSEVILLE,95747,CA,2,2,170000"
"7351 GIGI PL,SACRAMENTO,95828,CA,4,2,170000"
"7740 DIXIE LOU ST,SACRAMENTO,95832,CA,3,2,170000"
"7342 DAVE ST,SACRAMENTO,95828,CA,3,1,170725"
"7687 HOWERTON DR,SACRAMENTO,95831,CA,2,2,171750"
"26 KAMSON CT,SACRAMENTO,95833,CA,3,2,172000"
"7045 PEEVEY CT,SACRAMENTO,95823,CA,2,2,173056"
"8916 GABLES MILL PL,ELK GROVE,95758,CA,3,2,174000"
"1140 EDMONTON DR,SACRAMENTO,95833,CA,3,2,174250"
"8879 APPLE PEAR CT,ELK GROVE,95624,CA,4,2,176850"
"9 WIND CT,SACRAMENTO,95823,CA,4,2,179500"
"8570 SHERATON DR,FAIR OAKS,95628,CA,3,1,185000"
"1550 TOPANGA LN Unit 207,LINCOLN,95648,CA,0,0,188000"
"1080 RIO NORTE WAY,SACRAMENTO,95834,CA,3,2,188700"
"5501 VALLETTA WAY,SACRAMENTO,95820,CA,3,1,189000"
"5624 MEMORY LN,FAIR OAKS,95628,CA,3,1,189000"
"6622 WILLOWLEAF DR,CITRUS HEIGHTS,95621,CA,4,3,189836"
"27 MEGAN CT,SACRAMENTO,95838,CA,4,2,190000"
"6601 WOODMORE OAKS DR,ORANGEVALE,95662,CA,3,2,191250"
"1973 DANVERS WAY,SACRAMENTO,95832,CA,3,2,191675"
"8001 ARROYO VISTA DR,SACRAMENTO,95823,CA,3,2,195500"
"7409 VOYAGER WAY,CITRUS HEIGHTS,95621,CA,3,1,198000"
"815 CROSSWIND DR,SACRAMENTO,95838,CA,3,2,200000"
"5509 LAGUNA CREST WAY,ELK GROVE,95758,CA,3,2,200000"
"8424 MERRY HILL WAY,ELK GROVE,95624,CA,3,2,200000"
"1525 PENNSYLVANIA AVE,WEST SACRAMENTO,95691,CA,0,0,200100"
"5954 BRIDGECROSS DR,SACRAMENTO,95835,CA,3,2,201528"
"8789 SEQUOIA WOOD CT,ELK GROVE,95624,CA,4,2,204750"
"6600 SILVERTHORNE CIR,SACRAMENTO,95842,CA,4,3,205000"
"2221 2ND AVE,SACRAMENTO,95818,CA,2,2,205000"
"3230 SMATHERS WAY,CARMICHAEL,95608,CA,3,2,205900"
"5209 LAGUNA CREST WAY,ELK GROVE,95758,CA,2,2,207000"
"416 LEITCH AVE,SACRAMENTO,95815,CA,2,1,207973"
"2100 BEATTY WAY,ROSEVILLE,95747,CA,3,2,208250"
"6920 GILLINGHAM WAY,NORTH HIGHLANDS,95660,CA,3,1,208318"
"82 WILDFLOWER DR,GALT,95632,CA,3,2,209347"
"8652 BANTON CIR,ELK GROVE,95624,CA,4,2,211500"
"8428 MISTY PASS WAY,ANTELOPE,95843,CA,3,2,212000"
"7958 ROSEVIEW WAY,SACRAMENTO,95828,CA,3,2,213000"
"9020 LUKEN CT,ELK GROVE,95624,CA,3,2,216000"
"7809 VALLECITOS WAY,SACRAMENTO,95828,CA,3,1,216021"
"8445 OLD AUBURN RD,CITRUS HEIGHTS,95610,CA,3,2,219000"
"10085 ATKINS DR,ELK GROVE,95757,CA,3,2,219794"
"9185 CERROLINDA CIR,ELK GROVE,95758,CA,3,2,220000"
"9197 CORTINA CIR,ROSEVILLE,95678,CA,3,2,220000"
"5429 HESPER WAY,CARMICHAEL,95608,CA,4,2,220000"
"1178 WARMWOOD CT,GALT,95632,CA,4,2,220000"
"4900 ELUDE CT,SACRAMENTO,95842,CA,4,2,223000"
"3557 SODA WAY,SACRAMENTO,95834,CA,0,0,224000"
"3528 SAINT GEORGE DR,SACRAMENTO,95821,CA,3,1,224000"
"7381 WASHBURN WAY,NORTH HIGHLANDS,95660,CA,3,1,224252"
"2181 WINTERHAVEN CIR,CAMERON PARK,95682,CA,3,2,224500"
"7540 HICKORY AVE,ORANGEVALE,95662,CA,3,1,225000"
"5024 CHAMBERLIN CIR,ELK GROVE,95757,CA,3,2,228000"
"2400 INVERNESS DR,LINCOLN,95648,CA,3,2,229027"
"5 BISHOPGATE CT,SACRAMENTO,95823,CA,4,2,229500"
"5601 REXLEIGH DR,SACRAMENTO,95823,CA,4,2,230000"
"1909 YARNELL WAY,ELK GROVE,95758,CA,3,2,230000"
"9169 GARLINGTON CT,SACRAMENTO,95829,CA,4,3,232425"
"6932 RUSKUT WAY,SACRAMENTO,95823,CA,3,2,234000"
"7933 DAFFODIL WAY,CITRUS HEIGHTS,95610,CA,3,2,235000"
"8304 RED FOX WAY,ELK GROVE,95758,CA,4,2,235301"
"3882 YELLOWSTONE LN,EL DORADO HILLS,95762,CA,3,2,235738"
